"","full_ecosystem_type_name","eoo_km2"
"1 Cool Temperate - Large Fluvially Dominated","1 Cool Temperate - Large Fluvially Dominated",58.0689750369182
"1 Cool Temperate - Arid Predominantly Closed","1 Cool Temperate - Arid Predominantly Closed",2761.22879105758
"1 Cool Temperate - Predominantly Open","1 Cool Temperate - Predominantly Open",12126.0942810419
"1 Cool Temperate - Large Temporarily Closed","1 Cool Temperate - Large Temporarily Closed",7152.86139345221
"1 Cool Temperate - Estuarine Lake","1 Cool Temperate - Estuarine Lake",10522.5680368189
"1 Cool Temperate - Estuarine Lagoon","1 Cool Temperate - Estuarine Lagoon",71.2887690925124
"1 Cool Temperate - Small Temporarily Closed","1 Cool Temperate - Small Temporarily Closed",2474.69303426854
"1 Cool Temperate - Small Fluvially Dominated","1 Cool Temperate - Small Fluvially Dominated",0.0605569649086297
"2 Warm Temperate - Estuarine Lake","2 Warm Temperate - Estuarine Lake",3228.05790678784
"2 Warm Temperate - Small Temporarily Closed","2 Warm Temperate - Small Temporarily Closed",40842.6864561514
"2 Warm Temperate - Predominantly Open","2 Warm Temperate - Predominantly Open",52659.2126435925
"2 Warm Temperate - Large Temporarily Closed","2 Warm Temperate - Large Temporarily Closed",37350.5737955827
"2 Warm Temperate - Estuarine Bay","2 Warm Temperate - Estuarine Bay",51.2874577560309
"2 Warm Temperate - Small Fluvially Dominated","2 Warm Temperate - Small Fluvially Dominated",105.975008696398
"2 Warm Temperate - Large Fluvially Dominated","2 Warm Temperate - Large Fluvially Dominated",32.858326942531
"3 Subtropical - Large Fluvially Dominated","3 Subtropical - Large Fluvially Dominated",12918.3411726763
"3 Subtropical - Small Temporarily Closed","3 Subtropical - Small Temporarily Closed",6668.43667089558
"3 Subtropical - Large Temporarily Closed","3 Subtropical - Large Temporarily Closed",6359.6927652864
"3 Subtropical - Predominantly Open","3 Subtropical - Predominantly Open",8874.897972741
"3 Subtropical - Estuarine Bay","3 Subtropical - Estuarine Bay",43.8168714654349
"3 Subtropical - Estuarine Lake","3 Subtropical - Estuarine Lake",3408.78850430388
"4 Tropical - Estuarine Lake","4 Tropical - Estuarine Lake",563.828687610187
