"","full_ecosystem_type_name","biogeographical_zone","B","D","E","C","A","tot_ext24","B18","D18","E18","C18","A18","tot_ext18","B11","C11","D11","E11","A11","tot_ext11","eoo_km2","prp18_cde","prp18_de","prp18_e","pes_decline1118","prp24_cde","prp24_de","prp24_e","pes_decline1824","type_area","nat1990","nat2014","nat2018","nat2022","prpnat1990","prpnat2014","prpnat2018","prpnat2022","ard9022","nat2040","prplost9040","D3_18","B1aii_18","D3_24","B1aii_24","A2b_24","A3_24","RLE24","RLE18"
"1","1 Cool Temperate - Arid Predominantly Closed","aCTemp",3107786.73386864,5965988.08009755,5328341.7539046,0,0,14402116.5678708,3107786.73386864,875679.437154388,10418650.3968478,0,0,14402116.5678708,3107786.73386864,875679.437154388,5328341.7539046,5090308.64294316,0,14402116.5678708,2761.22879105758,0.784213193996659,0.784213193996659,0.723411058905771,"decline1118",0.784213193996659,0.784213193996659,0.369969353379032,"nodecline1824",14400400,12877200,12827200,12386400,12265600,0.894225160412211,0.890753034637927,0.860142773811839,0.851754117941168,19112.5,11921575,0.0742106203211878,"EN","EN","EN","LC","LC","LC","EN","EN"
"2","1 Cool Temperate - Estuarine Lagoon","aCTemp",60068831.4211718,0,0,0,0,60068831.4211718,60068831.4211718,0,0,0,0,60068831.4211718,60068831.4211718,0,0,0,0,60068831.4211718,71.2887690925124,0,0,0,"nodecline1118",0,0,0,"nodecline1824",60071200,59625600,59599600,59533200,59522800,0.99258213586544,0.992149316144841,0.991043961166083,0.990870833277844,3212.5,59464975,0.00269389322707025,"LC","LC","LC","LC","LC","LC","LC","LC"
"3","1 Cool Temperate - Estuarine Lake","aCTemp",0,0,26817236.4323961,44113530.7396032,0,70930767.1719994,0,22762674.8110337,4054561.62136238,44113530.7396032,0,70930767.1719994,0,44113530.7396032,22762674.8110337,4054561.62136238,0,70930767.1719994,10522.5680368189,1,0.37807622138595,0.0571622411968351,"nodecline1118",1,0.37807622138595,0.37807622138595,"nodecline1824",70921200,68022400,67492400,66871200,66722000,0.959126467121256,0.951653384319498,0.942894367269589,0.940790623960113,40637.5,65990525,0.0298706749541328,"VU","LC","EN","LC","LC","LC","EN","VU"
"4","1 Cool Temperate - Large Fluvially Dominated","aCTemp",0,30190584.6029966,0,0,0,30190584.6029966,0,30190584.6029966,0,0,0,30190584.6029966,0,0,30190584.6029966,0,0,30190584.6029966,58.0689750369182,1,1,0,"decline1118",1,1,0,"decline1824",30199200,27718400,24856800,24431200,24252800,0.917852128533206,0.823094651513947,0.80900156295531,0.803094121698588,108300,22303400,0.19535759639806,"EN","EN","EN","CR","LC","LC","CR","EN"
"5","1 Cool Temperate - Large Temporarily Closed","aCTemp",0,23092865.3590187,9304326.25794762,441928.478983781,0,32839120.0959501,0,23092865.3590187,9304326.25794762,441928.478983781,0,32839120.0959501,0,441928.478983781,10750606.2610641,21646585.3559023,0,32839120.0959501,7152.86139345221,1,0.986542621188006,0.283330559124667,"nodecline1118",1,0.986542621188006,0.283330559124667,"nodecline1824",32830800,21665600,20192800,18828000,18636000,0.65991690729437,0.615056593199069,0.573485873021675,0.567637706056508,94675,16931850,0.218491525736652,"EN","LC","EN","LC","LC","LC","EN","EN"
"6","1 Cool Temperate - Predominantly Open","aCTemp",0,124811815.794555,0,27786396.4425456,0,152598212.237101,0,7477082.96370488,0,145121129.273396,0,152598212.237101,0,27786396.4425456,124811815.794555,0,0,152598212.237101,12126.0942810419,1,0.0489984964705044,0,"nodecline1118",1,0.817911389424588,0,"decline1824",152582000,116033200,109813200,105712000,105023600,0.760464537101362,0.719699571378013,0.692820909412644,0.688309237000433,344050,98830700,0.148254982194751,"VU","LC","EN","EN","LC","LC","EN","VU"
"7","1 Cool Temperate - Small Fluvially Dominated","aCTemp",39565.5144470274,0,0,0,0,39565.5144470274,39565.5144470274,0,0,0,0,39565.5144470274,39565.5144470274,0,0,0,0,39565.5144470274,0.0605569649086297,0,0,0,"nodecline1118",0,0,0,"nodecline1824",40000,40000,40000,32800,31200,1,1,0.82,0.78,275,26250,0.34375,"LC","LC","LC","LC","VU","LC","VU","VU"
"8","1 Cool Temperate - Small Temporarily Closed","aCTemp",942171.469326055,2972361.42300284,41063.5518247746,0,1220807.23073008,5176403.67488375,942171.469326055,2972361.42300284,41063.5518247746,0,1220807.23073008,5176403.67488375,357847.710022386,3023439.50654564,0,348801.28484645,1446315.17346927,5176403.67488375,2474.69303426854,0.582146440674431,0.582146440674431,0.00793283414584099,"decline1118",0.582146440674431,0.582146440674431,0.00793283414584099,"nodecline1824",5180800,4017600,3965600,3873200,3853200,0.775478690549722,0.765441630636195,0.74760654725139,0.743746139592341,5137.5,3760725,0.0639374253285544,"LC","EN","EN","LC","LC","LC","EN","EN"
"9","2 Warm Temperate - Estuarine Bay","bWTemp",30105647.1283708,0,0,0,0,30105647.1283708,30105647.1283708,0,0,0,0,30105647.1283708,30105647.1283708,0,0,0,0,30105647.1283708,51.2874577560309,0,0,0,"nodecline1118",0,0,0,"nodecline1824",30104800,22710400,21742800,21127200,21091600,0.754378039382424,0.722236985464112,0.701788419122532,0.700605883447158,50587.5,20181025,0.111375184937297,"LC","LC","LC","LC","LC","LC","LC","LC"
"10","2 Warm Temperate - Estuarine Lake","bWTemp",21682393.4635039,0,0,121741176.045728,0,143423569.509232,21682393.4635039,0,0,121741176.045728,0,143423569.509232,33486705.1740757,0,109936864.335156,0,0,143423569.509232,3228.05790678784,0.848822661870034,0,0,"nodecline1118",0.848822661870034,0,0,"nodecline1824",143432800,90528000,87932400,84534000,84126000,0.631152707051665,0.613056427818463,0.589363102442398,0.586518564791317,200062.5,80524875,0.110497580858961,"LC","LC","LC","LC","LC","LC","LC","LC"
